Gene	Gene_ID	index
AQP4	ENSG00000171885	751
AQP6	ENSG00000086159	752
AQP7	ENSG00000165269	753
AQP9	ENSG00000103569	754
AQP12A	ENSG00000184945	755
AQP12B	ENSG00000185176	756
AQR	ENSG00000021776	757
AR	ENSG00000169083	758
ARAF	ENSG00000078061	759
ARAP1	ENSG00000186635	760
ARAP2	ENSG00000047365	761
ARAP3	ENSG00000120318	762
ARC	ENSG00000198576	763
ARCN1	ENSG00000095139	764
AREG	ENSG00000109321	765
AREL1	ENSG00000119682	766
ARF4	ENSG00000168374	767
ARFGAP1	ENSG00000101199	768
ARFGAP2	ENSG00000149182	769
ARFGAP3	ENSG00000242247	770
ARFGEF1	ENSG00000066777	771
ARFGEF2	ENSG00000124198	772
ARFIP1	ENSG00000164144	773
ARFIP2	ENSG00000132254	774
ARFRP1	ENSG00000101246	775
ARGLU1	ENSG00000134884	776
ARHGAP1	ENSG00000175220	777
ARHGAP4	ENSG00000089820	778
ARHGAP5	ENSG00000100852	779
ARHGAP6	ENSG00000047648	780
ARHGAP8	ENSG00000241484	781
ARHGAP9	ENSG00000123329	782
ARHGAP10	ENSG00000071205	783
ARHGAP11A	ENSG00000198826	784
ARHGAP11B	ENSG00000187951	785
ARHGAP12	ENSG00000165322	786
ARHGAP15	ENSG00000075884	787
ARHGAP17	ENSG00000140750	788
ARHGAP18	ENSG00000146376	789
ARHGAP19	ENSG00000213390	790
ARHGAP20	ENSG00000137727	791
ARHGAP21	ENSG00000107863	792
ARHGAP22	ENSG00000128805	793
ARHGAP23	ENSG00000225485	794
ARHGAP24	ENSG00000138639	795
ARHGAP25	ENSG00000163219	796
ARHGAP26	ENSG00000145819	797
ARHGAP27	ENSG00000159314	798
ARHGAP28	ENSG00000088756	799
ARHGAP29	ENSG00000137962	800
ARHGAP30	ENSG00000186517	801
ARHGAP31	ENSG00000031081	802
ARHGAP32	ENSG00000134909	803
ARHGAP33	ENSG00000004777	804
ARHGAP35	ENSG00000160007	805
ARHGAP36	ENSG00000147256	806
ARHGAP39	ENSG00000147799	807
ARHGAP40	ENSG00000124143	808
ARHGAP42	ENSG00000165895	809
ARHGAP44	ENSG00000006740	810
